Entity,Code,Year,Rate,Type
World,OWID_WRL,1800,12.04668918,Literate
World,OWID_WRL,1820,12.04668918,Literate
World,OWID_WRL,1870,18.74055449,Literate
World,OWID_WRL,1880,19.6284556,Literate
World,OWID_WRL,1890,20.5163567,Literate
World,OWID_WRL,1900,21.40425781,Literate
World,OWID_WRL,1910,26.44560193,Literate
World,OWID_WRL,1920,31.62316322,Literate
World,OWID_WRL,1930,32.52762946,Literate
World,OWID_WRL,1940,41.87922436,Literate
World,OWID_WRL,1950,56,Literate
World,OWID_WRL,1960,60.7,Literate
World,OWID_WRL,1970,65.8,Literate
World,OWID_WRL,1980,70,Literate
World,OWID_WRL,1990,75.7,Literate
World,OWID_WRL,2000,81.9,Literate
World,OWID_WRL,2012,85.36389,Literate
World,OWID_WRL,2013,85.49051,Literate
World,OWID_WRL,2014,85.80934,Literate
World,OWID_WRL,2015,86.01721,Literate
World,OWID_WRL,2016,86.24776,Literate
,OWID_WRL,1800,87.95331082,Illterate
,OWID_WRL,1820,87.95331082,Illterate
,OWID_WRL,1870,81.25944551,Illterate
,OWID_WRL,1880,80.3715444,Illterate
,OWID_WRL,1890,79.4836433,Illterate
,OWID_WRL,1900,78.59574219,Illterate
,OWID_WRL,1910,73.55439807,Illterate
,OWID_WRL,1920,68.37683678,Illterate
,OWID_WRL,1930,67.47237054,Illterate
,OWID_WRL,1940,58.12077564,Illterate
,OWID_WRL,1950,44,Illterate
,OWID_WRL,1960,39.3,Illterate
,OWID_WRL,1970,34.2,Illterate
,OWID_WRL,1980,30,Illterate
,OWID_WRL,1990,24.3,Illterate
,OWID_WRL,2000,18.1,Illterate
,OWID_WRL,2012,14.63611,Illterate
,OWID_WRL,2013,14.50949,Illterate
,OWID_WRL,2014,14.19066,Illterate
,OWID_WRL,2015,13.98279,Illterate
,OWID_WRL,2016,13.75224,Illterate
