Country,Code,Year,HeadCount
Afghanistan,AFG,1970,23.30952072
Afghanistan,AFG,1971,23.69047928
Afghanistan,AFG,1972,20.98461914
Afghanistan,AFG,1973,18.26026917
Afghanistan,AFG,1974,19.90541077
Afghanistan,AFG,1975,19.90526009
Afghanistan,AFG,1976,17.62804985
Afghanistan,AFG,1977,16.9681797
Afghanistan,AFG,1980,12.11382008
Afghanistan,AFG,1981,11.5581398
Afghanistan,AFG,1982,14.84325981
Afghanistan,AFG,1984,17.20433044
Afghanistan,AFG,1985,19.47307968
Afghanistan,AFG,1986,11.96146011
Afghanistan,AFG,2003,7.22769022
Albania,ALB,1971,19.31870079
Albania,ALB,1972,19.43494034
Albania,ALB,1980,21.58618927
Albania,ALB,1981,22.22249031
Albania,ALB,1982,21.8487606
Albania,ALB,1983,22.125
Albania,ALB,1984,22.3913002
Albania,ALB,1985,22.60676956
Albania,ALB,1986,22.80474091
Albania,ALB,1987,22.7452507
Albania,ALB,1988,22.87314034
Albania,ALB,1989,22.83449936
Albania,ALB,1990,23.03528976
Albania,ALB,1991,22.95321083
Albania,ALB,1992,20.01635933
Albania,ALB,1993,15.96477032
Albania,ALB,1994,17.56115913
Albania,ALB,1995,18.15357018
Albania,ALB,1996,19.14311981
Albania,ALB,1997,18.87339973
Albania,ALB,1998,19.2183094
Albania,ALB,1999,19.97410011
Albania,ALB,2000,21.04087067
Albania,ALB,2001,20.90169907
Albania,ALB,2002,21.98122978
Albania,ALB,2003,21.67021942
Albania,ALB,2004,21.17836952
Albania,ALB,2005,20.52240944
Albania,ALB,2006,20.26413918
Albania,ALB,2007,20.08507919
Albania,ALB,2008,19.64409065
Albania,ALB,2009,19.10483932
Albania,ALB,2010,18.07769966
Albania,ALB,2011,18.87545967
Albania,ALB,2012,18.5072403
Albania,ALB,2013,18.20030975
Albania,ALB,2014,18.25370026
Algeria,DZA,1993,20.26870918
Algeria,DZA,1994,22.30187035
Algeria,DZA,1995,21.60703087
Algeria,DZA,1996,25.76494026
Algeria,DZA,1997,25.13352966
Algeria,DZA,1999,28.15535927
Algeria,DZA,2000,26.86972046
Algeria,DZA,2001,28.08062935
Algeria,DZA,2003,27.90807915
Algeria,DZA,2004,26.27947998
Algeria,DZA,2005,28.91074944
Algeria,DZA,2006,24.21048927
Algeria,DZA,2007,26.79915047
Algeria,DZA,2008,25.19972992
Algeria,DZA,2009,23.80581093
Algeria,DZA,2010,25.80430984
Algeria,DZA,2011,25.36018944
Andorra,AND,1983,12.74833965
Andorra,AND,2002,14.52381039
Andorra,AND,2003,14.83146
Andorra,AND,2004,14.68539047
Andorra,AND,2005,13.90052032
Andorra,AND,2006,12.44762039
Andorra,AND,2007,12.78999996
Andorra,AND,2008,13.33510971
Andorra,AND,2009,13.08695984
Andorra,AND,2010,12.89305019
Andorra,AND,2011,13.29609013
Andorra,AND,2012,13.67978001
Andorra,AND,2013,14.0872097
Andorra,AND,2014,13.70390987
Angola,AGO,2010,37.06510925
Angola,AGO,2011,31.54112053
Argentina,ARG,1970,19.18128967
Argentina,ARG,1971,18.94323921
Argentina,ARG,1972,18.9491806
Argentina,ARG,1973,20.09486961
Argentina,ARG,1974,19.75832939
Argentina,ARG,1975,19.43457031
Argentina,ARG,1976,19.51832008
Argentina,ARG,1977,19.5338192
Argentina,ARG,1979,19.77802086
Argentina,ARG,1980,19.54640007
Argentina,ARG,1981,20.73926926
Argentina,ARG,1982,20.77486038
Argentina,ARG,1983,20.3475399
Argentina,ARG,1984,19.96781921
Argentina,ARG,1985,19.10489082
Argentina,ARG,1986,18.06957054
Argentina,ARG,1987,18.38805008
Argentina,ARG,1988,17.9040699
Argentina,ARG,1994,15.36509991
Argentina,ARG,1997,15.99262047
Argentina,ARG,1998,21.43751907
Argentina,ARG,1999,23.79198074
Argentina,ARG,2001,23.86940956
Argentina,ARG,2002,23.71277046
Argentina,ARG,2003,21.65934944
Argentina,ARG,2004,19.6245594
Argentina,ARG,2005,19.29072952
Argentina,ARG,2006,18.53315926
Argentina,ARG,2007,17.65756989
Argentina,ARG,2008,19.92433929
Armenia,ARM,1980,11.63107014
Armenia,ARM,1989,11.09904003
Armenia,ARM,1990,10.07843018
Armenia,ARM,1999,7.270909786
Armenia,ARM,2000,7.629220009
Armenia,ARM,2001,7.254039764
Armenia,ARM,2002,7.952620029
Armenia,ARM,2003,8.320810318
Armenia,ARM,2004,8.673640251
Armenia,ARM,2005,9.259010315
Armenia,ARM,2006,9.46228981
